lessonId	position	dayId	exerciseId	type	assessmentMode	instruction	audio	display	displayFormat	options	optionsFormat	correct	targetNumber	validationResult	origin	sourceExerciseId	topic	prerequisite	introducesNewContent	assessesContent
wb1_l1	27	wb1_l1_d2	wb1_l1_number_recognition_0	identification		Choose the correct number.	zero. This is the number zero.	0	digits	zero | one | ten | twenty	words	zero	0	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	28	wb1_l1_d2	wb1_l1_number_recognition_1	identification		Choose the correct number.	one. This is the number one.	ONE	words	1 | 7 | 11 | 10	digits	1	1	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	29	wb1_l1_d2	wb1_l1_number_recognition_2	identification		Choose the correct number.	two. This is the number two.	2	digits	two | twelve | twenty | ten	words	two	2	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	30	wb1_l1_d2	wb1_l1_number_recognition_3	identification		Choose the correct number.	three. This is the number three.	THREE	words	3 | 13 | 8 | 18	digits	3	3	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	31	wb1_l1_d3	wb1_l1_number_recognition_4	identification		Choose the correct number.	four. This is the number four.	4	digits	four | fourteen | forty | forty-four	words	four	4	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	32	wb1_l1_d3	wb1_l1_number_recognition_5	identification		Choose the correct number.	five. This is the number five.	FIVE	words	5 | 15 | 50 | 55	digits	5	5	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	33	wb1_l1_d3	wb1_l1_number_recognition_6	identification		Choose the correct number.	six. This is the number six.	6	digits	six | sixteen | sixty | sixty-six	words	six	6	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	34	wb1_l1_d3	wb1_l1_number_recognition_7	identification		Choose the correct number.	seven. This is the number seven.	SEVEN	words	7 | 17 | 70 | 77	digits	7	7	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	35	wb1_l1_d3	wb1_l1_number_recognition_8	identification		Choose the correct number.	eight. This is the number eight.	8	digits	eight | eighteen | eighty | eighty-eight	words	eight	8	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	36	wb1_l1_d3	wb1_l1_number_recognition_9	identification		Choose the correct number.	nine. This is the number nine.	NINE	words	9 | 19 | 90 | 99	digits	9	9	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	37	wb1_l1_d3	wb1_l1_number_recognition_10	identification		Choose the correct number.	ten. This is the number ten.	10	digits	ten | zero | eleven | twenty	words	ten	10	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	38	wb1_l1_d3	wb1_l1_number_recognition_11	identification		Choose the correct number.	eleven. This is the number eleven.	11	digits	one | eleven | twelve | twenty	words	eleven	11	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	39	wb1_l1_d3	wb1_l1_number_recognition_12	identification		Choose the correct number.	twelve. This is the number twelve.	12	digits	two | twelve | twenty | eleven	words	twelve	12	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	40	wb1_l1_d3	wb1_l1_number_recognition_13	identification		Choose the correct number.	thirteen. This is the number thirteen.	THIRTEEN	words	13 | 3 | 30 | 33	digits	13	13	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	41	wb1_l1_d3	wb1_l1_number_recognition_14	identification		Choose the correct number.	fourteen. This is the number fourteen.	14	digits	four | fourteen | forty | forty-four	words	fourteen	14	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	42	wb1_l1_d3	wb1_l1_number_recognition_15	identification		Choose the correct number.	fifteen. This is the number fifteen.	FIFTEEN	words	15 | 5 | 50 | 55	digits	15	15	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	43	wb1_l1_d3	wb1_l1_number_recognition_16	identification		Choose the correct number.	sixteen. This is the number sixteen.	16	digits	six | sixteen | sixty | sixty-six	words	sixteen	16	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	44	wb1_l1_d3	wb1_l1_number_recognition_17	identification		Choose the correct number.	seventeen. This is the number seventeen.	SEVENTEEN	words	17 | 7 | 70 | 77	digits	17	17	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	45	wb1_l1_d3	wb1_l1_number_recognition_18	identification		Choose the correct number.	eighteen. This is the number eighteen.	18	digits	eight | eighteen | eighty | eighty-eight	words	eighteen	18	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	46	wb1_l1_d4	wb1_l1_number_recognition_19	identification		Choose the correct number.	nineteen. This is the number nineteen.	NINETEEN	words	19 | 9 | 90 | 99	digits	19	19	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	47	wb1_l1_d4	wb1_l1_number_recognition_20	identification		Choose the correct number.	twenty. This is the number twenty.	20	digits	two | twenty | twelve | ten	words	twenty	20	PASS	lesson1Authored		numbers	none	true	false
wb1_l1	74	wb1_l1_d6	wb1_l1_number_yes_no_14	multiple-choice		Choose YES or NO.	Is this the number fourteen?	4	digits	YES | NO	unknown	NO	4	not-applicable:multiple-choice	lesson1Authored		numbers	number 14 recognition	false	true
wb1_l1	75	wb1_l1_d6	wb1_l1_number_write_7	writing		Write the number word.	seven	7	digits		none	seven	7	not-applicable:writing	lesson1Authored		numbers	number 7 recognition	false	true
wb1_l1	76	wb1_l1_d6	wb1_l1_number_write_16	writing		Write the number word.	sixteen	16	digits		none	sixteen	16	not-applicable:writing	lesson1Authored		numbers	number 16 recognition	false	true
